NO,ARRIVAL DATE,HS CODE,HS CODE DESCRIPTION,IMPORTER NAME,IMPORTER ADDRESS,IMPORTER COUNTRY,CITY STATE,TEL,FAX,E-MAIL,WEB,EXPORTER NAME,EXPORTER ADDRESS,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,NET WEIGHT,NET WEIGHT UNIT,GROSS WEIGHT,GROSS WEIGHT UNIT,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS,NUMBER OF PACKAGES,PACKAGES UNIT,INCOTERMS,PLACE OF DELIVERY,BRAND NAME,MANUFACTORING COMPANY,PORT OF ARRIVAL,PORT OF DEPARTURE,NOTIFY PARTY,NOTIFY ADDRESS,VOLUME,VOLUME UNIT,PREPORT,SHIPPER COUNTRY,US STATE,US PORT2,FINAL US PORT,FINAL FOREIGN PORT,FINAL COUNTRY,CONTAINER COUNT,TOTAL TEUS
1,30-01-2020,10063020,Basmati Rice,DIAMOND GRAINS TRADING LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,.,HRMM AGRO OVERSEAS PVT.LTD.,"HRMM AGRO OVERSEAS PVT.LTD.   ,SAHARANPUR/U.P. ,0 ,01342-2654331 ,",India,22627.20,0.00,USD,0.00,,0.00,,24.00,MTS,INDIAN BASMATI SELLA RICE 24.00 MT. - 24 00 BAGS PACKED IN FIBER BAGS 10KG@4 IN M ASTER PP BAGS 40KG,0.00,,,,,,Jebel Ali,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
2,30-01-2020,10063090,Rice Excptg Parboiled (Excl Basmati Rice),AL DANAH FOODSTUFF TRADING LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,.,FSA AGRO TRADERS,"N.NO.3/14, O.NO.3/10, SIVAN KOVIL STREET,KOTTATHUR,MUSIRI TK   ,TRICHIRAPALLI,DIST , ,8940692602 ,siraj fsa@hotmail.com",India,10920.00,0.00,USD,0.00,,0.00,,26.00,KGS,NON BASMATI RICE - IDLY RICE PACKED IN 2 0 KG PP WOVEN BAGS),0.00,,,,,,Jebel Ali,TUTICORIN SEA (INTUT1),,,0.00,,,,,,,,,0,0
3,30-01-2020,10063020,Basmati Rice,AAR KAY INTERNATIONAL PTYLTD.,72 B Lara Way Campbellfield 3061. ,Australia,Campbellfield ,+61 3 9357 7994,+61 3 9357 7954,info@aarkayinternational.com,www.aarkayinternational.com,CAPITAL VENTURES PRIVATE LIMITED,"SHOP NO.7,SARJA MARKET COMPLEXNAHARPUR,ROHINI.SECOR-7   ,DELHI ,110085 ,01127040099 ,Rkauto7rediffmail.com",India,1134.32,0.00,USD,0.00,,0.00,,0.88,MTS,BASMATI RICE 20 KG X 1 PACKED IN PP B,0.00,,,,,,Melbourne,SONEPAT ICD (INBDM6),,,0.00,,,,,,,,,0,0
4,30-01-2020,10063020,Basmati Rice,ACP TRADING LLC.,.,Georgia,Georgia,.,.,.,.,TASTYBUDS SPICES PRIVATE LIMITED," , , , ,",India,1674.00,0.00,USD,0.00,,0.00,,2000.00,KGS,BASMATHI RICE WHITE,0.00,,,,,,Poti,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
5,30-01-2020,10063020,Basmati Rice,SHERKAT PAKHSH SARASARI IRAN,.,Iran,Iran,.,.,.,https://www.iranyell.com,GRM OVERSEAS LIMITED,"GOHANA ROAD,NEAR SUGAR MILL   ,PANIPAT ,132103 ,652476,652524 ,grmovers@palcom.net",India,58052000.00,0.00,INR,0.00,,0.00,,920.00,MTS,"1121 BASMATI RICE,VERY LONG GRAIN (HIGH",0.00,,,,,,Bandar Abbas,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
6,30-01-2020,10063020,Basmati Rice,BEHMANESH ZARRIN SHEMIRAN,.,Iran,IR - Iran,.,.,.,.,B.D. OVERSEAS,"VILLAGE-PAKHANA,TARAORI,   ,KARNAL/HARYANA ,132116 ,01745-242573 ,mm_parveen@yahoo.com",India,15444000.00,0.00,INR,0.00,,0.00,,240.00,MTS,"INDIAN 1121 BASMATI SELLA RICE,6000 MAST",0.00,,,,,,Chah-Bahar,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
7,30-01-2020,10063020,Basmati Rice,ALTAWAF GENERAL TRADING,.,Kuwait,KW - Kuwait,.,.,.,.,CROWN GLOBAL TRADING PRIVATE LIMITED,"D 1/5 F FLOOR,D RAJOURI GARDEN, NE  AR BINDER PARK ,DELHI,DELHI ,PIN-110027 ,919654667766 ,info.mrhindia@gmail.com",India,11145.15,0.00,USD,0.00,,0.00,,13.80,MTS,INDIAN ORIGIN LONG GRAIN 1121 STEAM BASM ATI RICE PACKING : 2X20 KGS WHITE JUTE B AGS (O/D AS PER IN,0.00,,,,,,Shuaiba,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
8,30-01-2020,10063090,Rice Excptg Parboiled (Excl Basmati Rice),MR. MOHAMMAD JABARA,.,Kuwait,KW - Kuwait,.,.,.,.,AS ENTERPRISE," , , , ,",India,10522.69,0.00,USD,0.00,,0.00,,12.81,MTS,AL FAYSAL PREMIUM PARBOILED RICE (19 KG BAGS)-LONG GRAIN INDIAN RICE (NON-BASMAT I) (MADE IN INDIA),0.00,,,,,,Shuwaikh,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
9,30-01-2020,10063020,Basmati Rice,KUWAIT SUPPLY CO. KUWAIT,.,Kuwait,Kuwait,.,.,.,https://kuwaitsupplies.com,TANNA AGRO IMPEX PVT.LTD.,"TANNA HOUSE, 2ND FLOOR,11-A, NATHALAL PAREKH MARG,   ,MUMBAI ,400039 ,022-22021791 ,tanna@bom3.vsnl.net.in",India,475000.00,0.00,USD,0.00,,0.00,,500.00,MTS,"INDIAN WHITE BASMATI RICE, CROP 2019. PK",0.00,,,,,,Shuwaikh,KANDLA SEA (INIXY1),,,0.00,,,,,,,,,0,0
10,30-01-2020,10063020,Basmati Rice,MR. MOHAMMAD JABARA,.,Kuwait,KW - Kuwait,.,.,.,.,AS ENTERPRISE," , , , ,",India,10367.07,0.00,USD,0.00,,0.00,,12.62,MTS,AL FAYSAL XL INDIAN LONG GRAIN BASMATI R ICE (19 KG BAGS) (MADE IN INDIA),0.00,,,,,,Shuwaikh,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
11,30-01-2020,10063020,Basmati Rice,SOCIETE GENERALE,.,Morocco,Morocco,.,.,.,.,EBRO TILDA PRIVATE LIMITED,"REGUS BUISNESS CENTER, LEVEL-2, ELEGANCE TOWER, OLD MATHURA ROAD,   ,JASOLA, NEW DELHI ,0 , ,",India,3663.82,0.00,USD,0.00,,0.00,,3.28,MTS,TILDA INDIAN BASMATI RICE PACKED IN 04 X05 KGS POLYETHYLENE BAGS/MASTER CARD BO ARD CARTONS,0.00,,,,,,Casablanca,SONEPAT ICD (INBDM6),,,0.00,,,,,,,,,0,0
