NO,ARRIVAL DATE,HS CODE,HS CODE DESCRIPTION,IMPORTER NAME,IMPORTER ADDRESS,IMPORTER COUNTRY,CITY STATE,TEL,FAX,E-MAIL,WEB,EXPORTER NAME,EXPORTER ADDRESS,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,NET WEIGHT,NET WEIGHT UNIT,GROSS WEIGHT,GROSS WEIGHT UNIT,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS,NUMBER OF PACKAGES,PACKAGES UNIT,INCOTERMS,PLACE OF DELIVERY,BRAND NAME,MANUFACTORING COMPANY,PORT OF ARRIVAL,PORT OF DEPARTURE,NOTIFY PARTY,NOTIFY ADDRESS,VOLUME,VOLUME UNIT,PREPORT,SHIPPER COUNTRY,US STATE,US PORT2,FINAL US PORT,FINAL FOREIGN PORT,FINAL COUNTRY,CONTAINER COUNT,TOTAL TEUS
1,30-01-2019,10063020,Basmati Rice,NATRAJ FOOD STUFF FACTORY,.,United Arab Emirates,United Arab Emirates,.,.,.,http://www.natrajfoods.com,"GREEN VILLAGE AGROS PVT.LTD., ","938 SEC.-13URBAN ESTATE   ,KARNAL/HRY/TARAORI/HARYANA ,132001 ,01745-309966 ,info@greenvillagegros.com",India,58262.40,0.00,USD,0.00,,0.00,,52.02,MTS,"INDIAN ORIGIN 1121 STEAM BASMATI RICE, P ",0.00,,,,,,Jebel Ali,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
2,30-01-2019,10063020,Basmati Rice,KV A GENERAL TRADING LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,.,FAUJI EXIM PRIVATE LIMITED,"100, SAINIK VIHARPITAM PURA   ,DELHI ,110034 ,01127383623 9818661211 ,",India,7245.00,0.00,USD,0.00,,0.00,,6.30,MTS,"1121 RAW BASMATI RICE SORTEX, CROP 2016, ",0.00,,,,,,Jebel Ali,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
3,30-01-2019,10063010,"Rice, parboiled",NIRAPARA MIDDLEEAST GENERALTRAD LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,https://www.nirapara.com,K K R AGRO MILLS PRIVATE LIMITED,"III/678, OKKAL P.O.  KALADY, ERNAKULAM DIST. ,KERALA. ,PIN-683550 ,0484-462422/Fax-0484-2464111 ,export@nirapara.com",India,9280.30,0.00,USD,0.00,,0.00,,5300.00,KGS,2 KG JEERAKASALA RICE,0.00,,,,,,Jebel Ali,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
4,30-01-2019,10063010,"Rice, parboiled",MATSYA OVER SEASLTD.,.,United Arab Emirates,United Arab Emirates,.,.,.,.,VISHNU ENTERPRISES,"NO.545,J-2, BKR NAGAR, SATHY ROAD,GANDHIPURAM,   ,COIMBATORE, TAMIL NADU , ,422-4220415 ,vishnutvs@gmail.com",India,11518.00,0.00,USD,0.00,,0.00,,26000.00,KGS,NON BASMATHI RICE (THANJAVOOR KURUVA RIC,0.00,,,,,,Jebel Ali,TUTICORIN SEA (INTUT1),,,0.00,,,,,,,,,0,0
5,30-01-2019,10063090,Rice Excptg Parboiled (Excl Basmati Rice),SARAVANA FOOD STUFF FACTORY LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,http://saravanafoodstuff.com,LAKSHMI EXPORT AND IMPORT,"17/251, VECHISSERIL,  THONDANKULANGARA, AVALAKUNNU P.O   ,ALAPPUZHA,KERALA ,0 ,04782861474 ,lakshmiexportsind@gmail.com",India,73788.00,0.00,USD,0.00,,0.00,,156000.00,KGS,PONNI SAMBA RICE (NON BASMATI RICE) 156,0.00,,,,,,Jebel Ali,TUTICORIN SEA (INTUT1),,,0.00,,,,,,,,,0,0
6,30-01-2019,10063010,"Rice, parboiled",LULU HYPER MARKET LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,https://www.luluhypermarket.com,SRESTA NATURAL BIOPRODUCTS PVT LTD,"203 PAVANI ANNEXE, ROADNO.2BANJARA HILLS   ,HYDERABAD.A.P. ,500034 ,27893028 ,info@sresta.com",India,999.60,0.00,USD,0.00,,0.00,,840.00,KGS,ORGANIC IDLI RICE 1KG(AS PER INV&PKG),0.00,,,,,,ABU DHABI,HYDERABAD ICD (INSNF6),,,0.00,,,,,,,,,0,0
7,30-01-2019,10063020,Basmati Rice,BAJARIA GLOBAL PTYLTD.,.,Australia,Australia,.,.,.,.,LT FOODS LIMITED,"A-21, GREEN PARK,AUTOBINDO MARG,   ,NEW DELHI ,110016 , ,",India,2698.00,0.00,USD,0.00,,0.00,,100.00,CTN,DAAWAT  1121  GOLDEN BASMATI RICE  2MT 1 00  CARTON  4X5 KG PP  CARTON AUS    (L> 6.61 MM & L/B> 3.5,0.00,,,,,,Brisbane,SONEPAT ICD (INBDM6),,,0.00,,,,,,,,,0,0
8,30-01-2019,10063010,"Rice, parboiled",S.K. TRADING GMBH,"Quellenstrasse, 8005 Zürich",Switzerland,Switzerland,+41 76 449 60 94,.,.,https://www.sk-international-trading.com,JAYACO,"451, KUNDRATHUR MAIN ROAD,GERUGAMBAKKAM,   ,CHENNAI/TAMILNADU - ,602101 ,23820023/23820187 ,jayaaco@md3.vsnl.net.in",India,373.50,0.00,CHF,0.00,,0.00,,30.00,CTN,IDLI PAR BOILED RICE - 5 KG X 4(NT.WT.60,0.00,,,,,,ZURICH,CHENNAI SEA (INMAA1),,,0.00,,,,,,,,,0,0
9,30-01-2019,10063090,Rice Excptg Parboiled (Excl Basmati Rice),S.K. TRADING GMBH,"Quellenstrasse, 8005 Zürich",Switzerland,Switzerland,+41 76 449 60 94,.,.,https://www.sk-international-trading.com,JAYACO,"451, KUNDRATHUR MAIN ROAD,GERUGAMBAKKAM,   ,CHENNAI/TAMILNADU - ,602101 ,23820023/23820187 ,jayaaco@md3.vsnl.net.in",India,813.00,0.00,CHF,0.00,,0.00,,30.00,CTN,JEERA SAMBA RICE - 5 KG X 4(NT.WT.600.00,0.00,,,,,,ZURICH,CHENNAI SEA (INMAA1),,,0.00,,,,,,,,,0,0
10,30-01-2019,10063090,Rice Excptg Parboiled (Excl Basmati Rice),S.K. TRADING GMBH,"Quellenstrasse, 8005 Zürich",Switzerland,Switzerland,+41 76 449 60 94,.,.,https://www.sk-international-trading.com,JAYACO,"451, KUNDRATHUR MAIN ROAD,GERUGAMBAKKAM,   ,CHENNAI/TAMILNADU - ,602101 ,23820023/23820187 ,jayaaco@md3.vsnl.net.in",India,256.50,0.00,CHF,0.00,,0.00,,30.00,CTN,RED RAW RICE - 1 KG X 12(NT.WT.360.000 K,0.00,,,,,,ZURICH,CHENNAI SEA (INMAA1),,,0.00,,,,,,,,,0,0
