NO,ARRIVAL DATE,HS CODE,HS CODE DESCRIPTION,IMPORTER NAME,IMPORTER ADDRESS,IMPORTER COUNTRY,CITY STATE,TEL,FAX,E-MAIL,WEB,EXPORTER NAME,PORT OF DEPARTURE,EXPORTER ADDRESS,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,NET WEIGHT,NET WEIGHT UNIT,GROSS WEIGHT,GROSS WEIGHT UNIT,QUANTITY,Final Qty,QUANTITY UNIT,PRODUCT DETAILS,NUMBER OF PACKAGES,PACKAGES UNIT,INCOTERMS,PLACE OF DELIVERY,BRAND NAME,MANUFACTORING COMPANY,PORT OF ARRIVAL,PORT OF DEPARTURE,NOTIFY PARTY,NOTIFY ADDRESS,VOLUME,VOLUME UNIT,PREPORT,SHIPPER COUNTRY,US STATE,US PORT2,FINAL US PORT,FINAL FOREIGN PORT,FINAL COUNTRY,CONTAINER COUNT,TOTAL TEUS
1,30-01-2021,10063010,"Rice, parboiled",FARM FRESH FOOD STUFF TRADING LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,https://www.farmfresh.ae,FARM FRESH,COCHIN SEA (INCOK1),", , , ,",India,4775.76,0.00,USD,0.00,,0.00,,4824.00,4824.00,KGS,268 BAGS AJMEER GATE JEERAKASALA RICE(18 KGS/BAG),0.00,,,,,,Jebel Ali,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
2,30-01-2021,10063010,"Rice, parboiled",FARM FRESH FOOD STUFF TRADING LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,https://www.farmfresh.ae,FARM FRESH,COCHIN SEA (INCOK1),", , , ,",India,2952.00,0.00,USD,0.00,,0.00,,3600.00,3600.00,KGS,200 BAGS ANWA SPECIAL BIRIYANI RICE(18KG S/BAG),0.00,,,,,,Jebel Ali,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
3,30-01-2021,10063090,Rice Excptg Parboiled (Excl Basmati Rice),EMERGING WORLD FZC.,.,United Arab Emirates,United Arab Emirates,.,.,.,https://emergingworldgroup.com,SCM AGROTECH ENTERPRISES PRIVATE LIMITED,MUNDRA SEA (INMUN1),"165&166A,ZONE1-M.P NAGAR,   ,BHOPAL,MADHYA PRADESH ,PIN-462011 ,919893377747 ,sahib_gangwani@hotmail.com",India,79470.72,0.00,USD,0.00,,0.00,,181.44,181.44,MTS,SONA MANSOORI - NON BASMATI RICE - PACKI,0.00,,,,,,Jebel Ali,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
4,30-01-2021,10063010,"Rice, parboiled",LULU HYPER MARKET LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,https://www.luluhypermarket.com,FAIR EXPORTS ( INDIA) PVT LTD,COCHIN SEA (INCOK1),"501,  MADHAVA BLDGS,BANDRA KURLA COMPLEX,BANDRA(E)   ,MUMBAI         MAHARASHTRA ,400051 ,6542421/22 02226542421 02226542422 ,fairexpo@bom5.vsnl.net.in",India,110.40,0.00,USD,0.00,,0.00,,160.00,160.00,PCS,500 GM RED RICE,0.00,,,,,,Sharjah,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
5,30-01-2021,10063010,"Rice, parboiled",LULU HYPER MARKET LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,https://www.luluhypermarket.com,FAIR EXPORTS ( INDIA) PVT LTD,COCHIN SEA (INCOK1),"501,  MADHAVA BLDGS,BANDRA KURLA COMPLEX,BANDRA(E)   ,MUMBAI         MAHARASHTRA ,400051 ,6542421/22 02226542421 02226542422 ,fairexpo@bom5.vsnl.net.in",India,123.20,0.00,USD,0.00,,0.00,,160.00,160.00,NOS,300 GM BLACK KURUVAI RICE,0.00,,,,,,Sharjah,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
6,30-01-2021,10063020,Basmati Rice,FRESH PRODUCT FOOD & BEVERAGES,.,United Arab Emirates,United Arab Emirates,.,.,.,http://freshexpressint.com,FARMLINK AGRI DISTRIBUTION AND MARKET LINKAGE PRIV,MUNDRA SEA (INMUN1),"D/6, 5TH FLOOR, EVEREST,156, TARDE  O ROAD, ,MUMBAI,MAHARASHTRA ,PIN-400034 ,919819763880 ,nilesh.patil@farmlink.in",India,27250.00,0.00,USD,0.00,,0.00,,50.00,50.00,MTS,INDIAN SELLA BASMATI RICE HORECA XXXL` 1,0.00,,,,,,Jebel Ali,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
7,30-01-2021,10063010,"Rice, parboiled","MERHAT COMERCIO E INDUSTRIA(SU),LDA",.,Angola,AO - Angola,.,.,.,.,NAVYAA FOODS,MUNDRA SEA (INMUN1),", , , ,",India,0.00,0.00,USD,0.00,,0.00,,1.00,1.00,KGS,ALSO NOTIFY PARTY: SAPHIRE FOODSTUFF TR,0.00,,,,,,Luanda,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
8,30-01-2021,10063090,Semi-Milled Or Wholly Milled Rice,MAJUMDER ENTERPRISE,.,Bangladesh,Bangladesh,.,.,.,.,MASA AGRO PRIVATE LIMITED. KOLKATA,,,India,35292.00,0.00,USD,102000.00,Kg.,102204.00,Kg.,0.00,102204.00,KGS,RICE (NON BASMOTI) EX=1366KG,0.00,BG,,,,,Bhomra,,ABDUS SABUR,,0.00,,,,,,,,,0,0
9,30-01-2021,10063090,Semi-Milled Or Wholly Milled Rice,MD. SALMAN KURSHID,"Baneswar Bazar, Puthia, Puthia PS,Rajshahi- 6260, Bangladesh",Bangladesh,BD - Bangladesh,.,.,.,.,"BRIJ KISHORE PRASAD ASHRAMPARA, PAK",,,India,21775.00,0.00,USD,65000.00,Kg.,65650.00,Kg.,0.00,65650.00,KGS,NON BASMOTI RICE,0.00,BG,,,,,Banglabandha,,Ms Shetu International,,0.00,,,,,,,,,0,0
10,30-01-2021,10063010,"Rice, parboiled",GLOBAL ENTERPRISE,.,Bangladesh,Bangladesh,.,.,.,.,SOUBHIK EXPORTS LIMITED,GHOJADANGA LCS,"LORDS, 7/1, LORD SINHA ROAD,  4TH FLOOR, ROOM .NO.409, ,KOLKATA. WEST BENGAL. ,PIN-700071 ,2282-6836/2611/0281/2566. ,soubhik@cal3.vnsl.net.in",India,72850.60,0.00,USD,0.00,,0.00,,215.00,215.00,MTS,INDIAN RICE ( NON BASMOTI) (API),0.00,,,,,,BHOMRA,GHOJADANGA LCS,,,0.00,,,,,,,,,0,0
