NO,ARRIVAL DATE,HS CODE,HS CODE DESCRIPTION,IMPORTER NAME,IMPORTER ADDRESS,IMPORTER COUNTRY,CITY STATE,TEL,FAX,E-MAIL,WEB,EXPORTER NAME,EXPORTER ADDRESS,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,NET WEIGHT,NET WEIGHT UNIT,GROSS WEIGHT,GROSS WEIGHT UNIT,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS,NUMBER OF PACKAGES,PACKAGES UNIT,INCOTERMS,PLACE OF DELIVERY,BRAND NAME,MANUFACTORING COMPANY,PORT OF ARRIVAL,PORT OF DEPARTURE,NOTIFY PARTY,NOTIFY ADDRESS,VOLUME,VOLUME UNIT,PREPORT,SHIPPER COUNTRY,US STATE,US PORT2,FINAL US PORT,FINAL FOREIGN PORT,FINAL COUNTRY,CONTAINER COUNT,TOTAL TEUS
1,30-01-2022,10063090,Rice Excptg Parboiled (Excl Basmati Rice),LUCKY GBR GENERAL TRADING LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,.,SAMSKRUTHI EXPORTERS,"MUNICIPAL NO.3-6-224-225, F.NO.501, SRIDEVI ESTATES, STREET NO.16, HIMAYATH NAGAR   ,HYDERABAD ,0 ,8008998787 ,kskr96@gmail.com",India,25126.20,0.00,USD,0.00,,0.00,,50.76,MTS,INDIAN NON BASMATI RICE (TOTAL 5640 BAGS,0.00,,,,,,Jebel Ali,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
2,30-01-2022,10063090,Semi-Milled Or Wholly Milled Rice,BANGLADESH EDIBLE OILLTD.,.,Bangladesh,Bangladesh,.,.,.,.,ADANI WILMAR LIMITED INDIA,,India,88920.00,0.00,USD,72000.00,Kg.,75600.00,Kg.,0.00,,FORTUNE BIRYANI SPECIAL BASMATI RICE (20X1 KG),0.00,PK,,,,,"Custom House,Chattogram",,ALLIED CORPORATION.,,0.00,,,,,,,,,0,0
3,30-01-2022,10063090,Rice Excptg Parboiled (Excl Basmati Rice),ALAH AL MUBAYAD TRAD.EST,.,Saudi Arabia,SA - Saudi Arabia,.,.,.,.,MANJILAS FOOD TECH PRIVATE LIMITED,"TC-16/1382,  SASTHRI ROAD, NELLIKUNNU, ,THRISSUR,KERALA ,PIN-680005 ,0487 2420895 2440113 ,info@manjilas.com",India,1465.20,0.00,USD,0.00,,0.00,,1200.00,KGS,IDLY RAVA,0.00,,,,,,Dammam,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
4,30-01-2022,10063090,Rice Excptg Parboiled (Excl Basmati Rice),GECO INTERNATIONALLTD.,"Unit 18, Brookfield Propert Brookfield Drive Liverpool, Merseyside | L9 7AS",United Kingdom,United Kingdom,.,.,.,http://www.gecointl.com,MANJILAS FOOD TECH PRIVATE LIMITED,"TC-16/1382,  SASTHRI ROAD, NELLIKUNNU, ,THRISSUR,KERALA ,PIN-680005 ,0487 2420895 2440113 ,info@manjilas.com",India,600.00,0.00,USD,0.00,,0.00,,600.00,KGS,IDLY RICE,0.00,,,,,,Felixstowe,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
5,30-01-2022,10063090,Rice Excptg Parboiled (Excl Basmati Rice),GECO INTERNATIONALLTD.,"Unit 18, Brookfield Propert Brookfield Drive Liverpool, Merseyside | L9 7AS",United Kingdom,United Kingdom,.,.,.,http://www.gecointl.com,MANJILAS FOOD TECH PRIVATE LIMITED,"TC-16/1382,  SASTHRI ROAD, NELLIKUNNU, ,THRISSUR,KERALA ,PIN-680005 ,0487 2420895 2440113 ,info@manjilas.com",India,463.20,0.00,USD,0.00,,0.00,,400.00,KGS,PONNI RICE,0.00,,,,,,Felixstowe,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
6,30-01-2022,10063090,Rice Excptg Parboiled (Excl Basmati Rice),GECO INTERNATIONALLTD.,"Unit 18, Brookfield Propert Brookfield Drive Liverpool, Merseyside | L9 7AS",United Kingdom,United Kingdom,.,.,.,http://www.gecointl.com,MANJILAS FOOD TECH PRIVATE LIMITED,"TC-16/1382,  SASTHRI ROAD, NELLIKUNNU, ,THRISSUR,KERALA ,PIN-680005 ,0487 2420895 2440113 ,info@manjilas.com",India,1438.32,0.00,USD,0.00,,0.00,,1600.00,KGS,PACHARI - WHITE RAW RICE,0.00,,,,,,Felixstowe,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
7,30-01-2022,10063090,Rice Excptg Parboiled (Excl Basmati Rice),GECO INTERNATIONALLTD.,"Unit 18, Brookfield Propert Brookfield Drive Liverpool, Merseyside | L9 7AS",United Kingdom,United Kingdom,.,.,.,http://www.gecointl.com,MANJILAS FOOD TECH PRIVATE LIMITED,"TC-16/1382,  SASTHRI ROAD, NELLIKUNNU, ,THRISSUR,KERALA ,PIN-680005 ,0487 2420895 2440113 ,info@manjilas.com",India,863.00,0.00,USD,0.00,,0.00,,1000.00,KGS,WHITE RAW RICE,0.00,,,,,,Felixstowe,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
8,30-01-2022,10063020,Basmati Rice,ARTIN FARABAR ARARAT CO,.,Iran,Iran,.,.,.,,BABA IMPORT & EXPORT,"O/S. CHATIWIND GATE,   ,AMRITSAR PUNJAB ,PIN-143001 ,2482483 ,",India,18375.00,0.00,USD,0.00,,0.00,,25.00,MTS,BASMATI WHITE SELLA RICE PACKED IN 25 K,0.00,,,,,,Bandar Abbas,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
9,30-01-2022,10063090,Semi-Milled Or Wholly Milled Rice,Grain Bangla Distribution (Pvt.),"Ltd. Changed From Grain Bangla , Distribuiton (Pvt.) Ltd.,1,1/1, Naya Paltan, Dhaka-1000,",Bangladesh,BD - Bangladesh,.,.,.,.,AMAR SINGH CHAWALWALA OUTSIDE CHAT,,India,15560.00,0.00,USD,15000.00,Kg.,15489.00,Kg.,0.00,,BASMATI RICE,0.00,PK,,,,,Benapole Custom House,,JAN MON TRADING PVT. LTD,,0.00,,,,,,,,,0,0
10,30-01-2022,10063090,Rice Excptg Parboiled (Excl Basmati Rice),GECO INTERNATIONALLTD.,"Unit 18, Brookfield Propert Brookfield Drive Liverpool, Merseyside | L9 7AS",United Kingdom,United Kingdom,.,.,.,http://www.gecointl.com,MANJILAS FOOD TECH PRIVATE LIMITED,"TC-16/1382,  SASTHRI ROAD, NELLIKUNNU, ,THRISSUR,KERALA ,PIN-680005 ,0487 2420895 2440113 ,info@manjilas.com",India,315.00,0.00,USD,0.00,,0.00,,300.00,KGS,PONNI RICE,0.00,,,,,,Felixstowe,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
11,30-01-2022,10063090,Rice Excptg Parboiled (Excl Basmati Rice),GECO INTERNATIONALLTD.,"Unit 18, Brookfield Propert Brookfield Drive Liverpool, Merseyside | L9 7AS",United Kingdom,United Kingdom,.,.,.,http://www.gecointl.com,MANJILAS FOOD TECH PRIVATE LIMITED,"TC-16/1382,  SASTHRI ROAD, NELLIKUNNU, ,THRISSUR,KERALA ,PIN-680005 ,0487 2420895 2440113 ,info@manjilas.com",India,4875.00,0.00,USD,0.00,,0.00,,6500.00,KGS,PALAKKADAN MATTA RICE - LONG GRAIN,0.00,,,,,,Felixstowe,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
12,30-01-2022,10063090,Rice Excptg Parboiled (Excl Basmati Rice),GECO INTERNATIONALLTD.,"Unit 18, Brookfield Propert Brookfield Drive Liverpool, Merseyside | L9 7AS",United Kingdom,United Kingdom,.,.,.,http://www.gecointl.com,MANJILAS FOOD TECH PRIVATE LIMITED,"TC-16/1382,  SASTHRI ROAD, NELLIKUNNU, ,THRISSUR,KERALA ,PIN-680005 ,0487 2420895 2440113 ,info@manjilas.com",India,1091.40,0.00,USD,0.00,,0.00,,600.00,KGS,JEERAKASALA RICE,0.00,,,,,,Felixstowe,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
13,30-01-2022,10063090,Rice Excptg Parboiled (Excl Basmati Rice),LUCKY GBR GENERAL TRADING LLC.,.,United Arab Emirates,United Arab Emirates,.,.,.,.,SAMSKRUTHI EXPORTERS,"MUNICIPAL NO.3-6-224-225, F.NO.501, SRIDEVI ESTATES, STREET NO.16, HIMAYATH NAGAR   ,HYDERABAD ,0 ,8008998787 ,kskr96@gmail.com",India,106920.00,0.00,USD,0.00,,0.00,,216.00,MTS,INDIAN NON BASMATI RICE (TOTAL 12000 BAG,0.00,,,,,,Jebel Ali,MUNDRA SEA (INMUN1),,,0.00,,,,,,,,,0,0
14,30-01-2022,10063090,Rice Excptg Parboiled (Excl Basmati Rice),GECO INTERNATIONALLTD.,"Unit 18, Brookfield Propert Brookfield Drive Liverpool, Merseyside | L9 7AS",United Kingdom,United Kingdom,.,.,.,http://www.gecointl.com,MANJILAS FOOD TECH PRIVATE LIMITED,"TC-16/1382,  SASTHRI ROAD, NELLIKUNNU, ,THRISSUR,KERALA ,PIN-680005 ,0487 2420895 2440113 ,info@manjilas.com",India,270.00,0.00,USD,0.00,,0.00,,300.00,KGS,IDLY RICE,0.00,,,,,,Felixstowe,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
15,30-01-2022,10063090,Semi-Milled Or Wholly Milled Rice,BANGLADESH EDIBLE OILLTD.,.,Bangladesh,Bangladesh,.,.,.,.,ADANI WILMAR LTD INDIA,,India,133380.00,0.00,USD,108000.00,Kg.,113400.00,Kg.,0.00,,FORTUNE BIRYANI SPECIAL BASMATI RICE (20X1KG),0.00,PK,,,,,"Custom House,Chattogram",,ALLIED CORPORATION.,,0.00,,,,,,,,,0,0
16,30-01-2022,10063090,Semi-Milled Or Wholly Milled Rice,BANGLADESH EDIBLE OILLTD.,.,Bangladesh,Bangladesh,.,.,.,.,ADANI WILMAR LTD INDIA.,,India,199740.00,0.00,USD,156000.00,Kg.,162000.00,Kg.,0.00,,FORTUNE BIRYANI SPECIAL BASMATI RICE,0.00,PK,,,,,"Custom House,Chattogram",,SAZON ENTERPRISE,,0.00,,,,,,,,,0,0
17,30-01-2022,10063090,Rice Excptg Parboiled (Excl Basmati Rice),GECO INTERNATIONALLTD.,"Unit 18, Brookfield Propert Brookfield Drive Liverpool, Merseyside | L9 7AS",United Kingdom,United Kingdom,.,.,.,http://www.gecointl.com,MANJILAS FOOD TECH PRIVATE LIMITED,"TC-16/1382,  SASTHRI ROAD, NELLIKUNNU, ,THRISSUR,KERALA ,PIN-680005 ,0487 2420895 2440113 ,info@manjilas.com",India,585.00,0.00,USD,0.00,,0.00,,600.00,KGS,IDLY RICE,0.00,,,,,,Felixstowe,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
18,30-01-2022,10063090,Rice Excptg Parboiled (Excl Basmati Rice),GECO INTERNATIONALLTD.,"Unit 18, Brookfield Propert Brookfield Drive Liverpool, Merseyside | L9 7AS",United Kingdom,United Kingdom,.,.,.,http://www.gecointl.com,MANJILAS FOOD TECH PRIVATE LIMITED,"TC-16/1382,  SASTHRI ROAD, NELLIKUNNU, ,THRISSUR,KERALA ,PIN-680005 ,0487 2420895 2440113 ,info@manjilas.com",India,1440.00,0.00,USD,0.00,,0.00,,800.00,KGS,JEERAKASALA RICE,0.00,,,,,,Felixstowe,COCHIN SEA (INCOK1),,,0.00,,,,,,,,,0,0
19,30-01-2022,10063010,"Rice, parboiled",SONAM DHANDUP ENTERPRISE,.,Bhutan,BT - Bhutan,.,.,.,.,Shah Traders,", , , ,",India,13545.00,0.00,INR,0.00,,0.00,,15.00,NOS,RICE 25KG,0.00,,,,,,Phuntsholing,LCS JAIGAON (INJIGB),,,0.00,,,,,,,,,0,0
20,30-01-2022,100630,"Cereals, rice, semi-milled or wholly milled, whether or not polished or glazed",XIAMEN CONVERGENCE & HARVEST INDUSTRY CO.LTD.,"UNIT 2211, NO.474, XINLIN BAY ROAD , JIMEI DISTRICT, XIAMEN , CHINA P.C : 361022",China,China,.,.,.,.,DRRK FOODS (PVT) LTD,,India,0.00,0.00,,0.00,,29234.00,Kg.,540.00,BG,"RICE (SHORT, MEDIUM OR LONG GRAIN), SEMI OR WHOLLY MILLED",0.00,,,,,,XIAMEN,CALCUTTA,,,0.00,,,,,,,,,1,1
